r1 (Ohm),output voltage on all white (V) v_in=3.5 V,output voltage on all black (V) v_in=3.5 V,output voltage on all white (V) v_in=3 V,output voltage on all black (V) v_in=3 V,output voltage on all white (V) v_in=2.5 V,output voltage on all black (V) v_in=2.5 V
100,0.121,0.688,0.139,1.48,0.141,1.34
220,0.146,2.18,0.166,2.31,0.169,1.94
390,0.169,2.78,0.189,2.52,0.193,2.17
560,0.184,3,0.204,2.64,0.211,2.26
680,0.192,3.08,0.217,2.68,0.228,2.28
820,0.204,3.15,0.239,2.72,0.252,2.31
1000,0.22,3.2,0.44,2.84,0.505,2.33
1200,0.247,3.25,0.95,2.86,0.822,2.34
1500,0.541,3.28,1.46,2.87,1.15,2.35
2200,1.74,3.34,1.98,2.9,1.53,2.36
2700,2.1,3.36,2.18,2.91,1.65,2.37
3300,2.45,3.37,2.31,2.91,1.79,2.38
3900,2.61,3.37,2.4,2.92,1.85,2.38
4700,2.79,3.38,2.49,2.93,1.89,2.38
