voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.24,2.28,2.32,1.96,2.03,2.08,0.32,0.395,0.44
2.7,2.36,2.43,2.48,2.04,2.12,2.2,0.2,0.277,0.36
2.9,2.52,2.58,2.64,2.12,2.21,2.28,0.2,0.249,0.32
3.1,2.68,2.72,2.8,2.2,2.29,2.36,0.2,0.239,0.28
3.3,2.8,2.85,2.92,2.28,2.36,2.44,0.16,0.234,0.28
3.5,2.96,2.99,3.04,2.36,2.42,2.48,0.16,0.228,0.28
3.7,3.08,3.13,3.2,2.44,2.49,2.56,0.16,0.224,0.28
3.9,3.2,3.25,3.28,2.48,2.56,2.64,0.16,0.22,0.28
4.1,3.36,3.39,3.44,2.56,2.63,2.72,0.16,0.217,0.28
4.3,3.48,3.52,3.56,2.6,2.69,2.76,0.16,0.215,0.28
4.5,3.6,3.65,3.68,2.68,2.74,2.84,0.16,0.214,0.28
4.7,3.72,3.77,3.8,2.72,2.81,2.88,0.16,0.212,0.28
