voltage in (V),current (mA),all black v min (V),all black v mean (V),all black v max (V),white line min (V),white line mean (V),white line max (V)
2.60,33.00,1.92,2.05,2.20,1.48,1.63,1.76
2.80,37.00,2.04,2.15,2.28,1.52,1.65,1.76
3.00,40.00,2.08,2.21,2.32,1.56,1.66,1.80
3.20,45.00,2.20,2.32,2.44,1.56,1.66,1.80
3.30,47.00,2.24,2.36,2.48,1.52,1.67,1.76
3.50,52.00,2.32,2.43,2.56,1.56,1.68,1.80
3.70,55.00,2.40,2.53,2.64,1.56,1.66,1.80
4.00,61.50,2.48,2.64,2.76,1.56,1.65,1.80
4.20,65.60,2.56,2.71,2.84,1.52,1.64,1.76
4.40,71.80,2.64,2.78,2.92,1.52,1.64,1.76
4.60,76.20,2.72,2.87,3.00,1.52,1.62,1.76
